country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Morocco,,,,,,,,,,,,,,,,,,,,,59.5,59.9,60.4,61.9,36.5,58.9,56.4,58.8,60.3,60.6,62.8,63.8,35.5,35.9,34.7,35,36.3,36.7,37.2,37.7,37.6,38.3,39.4,44.3,44.9,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1,,,,,,,,,,,,20.1,,
Myanmar,,,,,,,,,23.1,23.2,23.1,23.2,23.1,23.4,23.3,23.3,23.3,23.6,23.9,23.9,21,,21.9,21.5,21.5,,,24.9,25.1,,,,,,,,,,,,,,,,,31.4,,33.5
Namibia,,,,,,,,,,,,,,,,,,,,,,36.6,,,,,,47,,,56,,,,55.1,,,,65.9,,54.7,,58.7,53.8,55.8,,60.6,
Nepal,,,,,,,,,,,,,,,,,,,,,,14.7,,,,,,,,14.1,,,,,,,,,17.6,,,,,,,,,
Netherlands,53.9,55,56.1,56.7,57.5,59.4,60.8,59.2,61.6,59.3,63.6,63.2,66.3,65,66.8,65.9,68.4,67,68.4,68.3,68.5,69.7,68.2,70.1,71.1,70.6,68.9,69.1,70.3,70.6,70.4,71.2,69,74.4,72.9,72.5,73.2,74.7,74.1,72.8,71.7,71.4,72,74.6,75.1,74.9,74.6,73.2
New Zealand,,,,,,,,,,,,,,,,,,,,,,65.3,65.9,65.6,64.3,64.9,,67.2,67,67.3,67.7,67.8,68.4,69.4,69.5,70.5,70,70.4,70.9,71.8,71.9,72.4,72.7,73,72.5,71.5,73.3,73.3
Nicaragua,,,,,,,,,,,,,,,,,,,,,38.2,40,40,40.3,39.6,39.5,39.4,39.1,38.9,38.2,37.9,38.2,,51.5,51.3,51.4,51.5,49.8,52.2,52.7,,,51.5,,50.3,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2,,,,,,
Nigeria,,,,,,,,,,,,,,56.5,,,43.8,,,,,,,,,,,,,,,,,,41.7,,,,,,47.7,,,49.3,,,,
Norway,,,53.5,54.7,55.2,56.2,57.4,58.4,59.5,61.2,62.3,62.7,63.9,65.3,65.4,65.6,65.9,66.7,67.5,68.3,69.2,70.8,71.2,71.6,71.6,71.3,71.5,71.4,72.4,73.1,73.9,74.1,74.3,74.4,75.6,75.8,75.9,75.9,74.3,77,77.7,77.3,77.4,77.3,77.1,77.7,78.2,78.3
Oman,,,,,,,,,,,,,,,,,,,,,,,,81.7,,,84.8,,,,82.2,,,,,,,,64.7,,57.9,,,,,,,
Pakistan,,,,22.9,26.4,26.4,26.4,26.4,26.4,26.8,26.8,26.8,26.8,27.5,27.5,28.7,26.8,29.6,28.9,28.9,28.9,32.7,32,33.5,32.4,34.6,34.6,36.9,35.6,35.6,33.5,33.5,37.1,37.1,36.6,36.6,35.9,35.4,35.1,35.7,35.2,34.7,,34.8,34.9,35,34.1,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,75.7,,,,,79.1,,,,,,,84.2,85.9,,,,,,,,,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,48.3,57.3,52,49.9,49.3,51.8,59.5,60.9,58.2,59.2,58.9,59.6,60.2,62.4,47.6,63.2,62,61.5,61.1,61.2,62.2,62.1,62.2
Panama,42.1,43.3,43.6,,47.1,46.9,47.2,47.9,51,49.9,,,51.2,51.7,52.7,50.7,52.4,56.8,55.9,56.2,,58.2,58,59.3,61.6,61.1,61.5,63,64.2,64.4,65.7,64.6,65.7,65.3,66.3,67.1,66,66,63,62.8,63.9,64.7,65,63.5,64.2,66.6,66.3,67
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7,,,,,,,,,,49.7,,,,,,,
Paraguay,,,,,,,,,,,,,72.3,68.9,69.6,68.6,70.5,71.5,72,70.5,70.3,72.5,71.2,72.6,69.2,43.2,72.8,53.6,53.1,51.4,51.2,51.2,50.5,52.7,50.6,52.2,52.8,53.1,55.6,54.3,55.1,56.6,57,59.7,58.7,60.6,59.2,59.6
