country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,22.6,22.6,20.3,22.4,22.4,21.4,21.4,20.8,20.8,24.2,24.2,23.9,24.7,26.1,27.1,26.6,25.4,,24.2,22.6,22,24.2,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,9.68,12.1,9.87,7.98,7.89,9.56,9.16,10.3,11.5,11.2,10.3,11.4,12.3,10.2,8.02,7.26,8.45,8.81,7.48,6.99,6.81,5.44,4.53
Panama,,,,,,,,,,,,,5.45,4.29,4.47,4.85,4.77,6.15,7.29,6.34,,5.23,4.51,4.13,3.3,4.03,3.94,3.48,3.09,2.6,2.57,3.39,3.03,3.39,3.08,3.77,3.62,2.94,3.23,5.1,4.42,3.76,4.81,4.94,4.54,4.35,4.9,4.65
Paraguay,,,,,,,,,,,,,,,,,,,,,0.26,0.27,0.92,2.1,3.08,,4.91,8.74,11.4,11.9,,12.2,12.2,10,10.2,9.47,10.3,8.17,8.39,8.8,7.89,7.39,6.54,6.73,5.6,7.98,7.54,7.46
Peru,,,,,,,,,,,,,,,,,,,,,5.34,3.59,4.07,5.49,5.46,5.03,7.13,7.92,7.64,6.98,7.4,7.73,19.2,20.6,20.5,19.7,19.1,17,16.4,16.6,16.4,16.4,15.5,15.3,15.4,14.8,14.6,14
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,13.6,12.2,13.5,13.3,12.7,11.6,12.4,12.7,12.5,12.5,12.3,11.8,11.9,11.3,10.6,11.1,,8.39,6.34
Poland,,,,,,,,,,,,,,,,,,,,,,,6.57,6.79,6.01,6,6.15,5.41,4.69,3.98,4.85,5.48,5.7,5.32,5.37,5.25,4.54,4.22,4.12,3.96,3.88,3.72,3.52,3.3,3.09,2.96,2.64,2.61
Portugal,,,,,,,,,,,,,,,,,4.79,4.47,4.05,3.56,2.86,3.76,1.71,1.79,2.07,1.97,1.6,1.48,2.25,2,2.25,2.27,1.83,1.55,1.44,1.45,1.21,1.06,0.91,0.86,0.94,0.61,0.66,0.67,0.53,0.51,0.63,0.46
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,0.05,,0,0,
Romania,,,,,,,,,,,,,,,,,,,,,,4.48,13.7,14.5,15.2,14.6,16,18.1,18.9,20.3,20.7,20.4,15.3,16.1,14.3,13.9,13.2,12.6,11.8,12,12.6,12.3,12.2,11.8,11.6,9.57,8.48,8.17
Russia,,,,,,,,,,,,,,,,,,,,,,,0.1,0.12,0.12,0.15,0.15,0.08,0.09,0.17,0.13,0.06,0.08,0.11,0.09,0.11,0.08,0.11,0.13,0.33,0.42,0.29,0.4,0.37,0.39,0.36,0.4,0.37
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,31.2,,,,,,14.9,,,,,,,,,,9.26,,29.8,,,4.25
Samoa,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,46.5,,,,,29,,36.1,,,,1.53,,,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,0.3,0.21,0.17,0.17,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,0.78,,,,,,,,,,,,5.87,5.84,6.26,0.51,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,,
Senegal,,,,,,,,,,,,,,,,,,,,,,28.5,,,,,,,,,,24,,,,,,,,,,23.3,,,,23.9,,
